Diet,Meal,Category,Food_Item,Calories,Protein_g,Carbs_g,Fat_g
veg,Lunch,flatbread,Butter Naan 871,104,8,17,10
veg,Snack,snack,Greek Yogurt 671,256,5,20,0
veg,Lunch,salad,Corn Salad 612,50,1,9,1
veg,Dinner,dry_veg,Beans Poriyal 719,192,5,20,12
veg,Dinner,dry_veg,Cabbage Sabzi 142,202,5,10,8
veg,Breakfast,beverage,Lemonade 380,244,4,13,1
veg,Snack,snack,Greek Yogurt 198,119,4,9,12
veg,Breakfast,beverage,Lassi 987,62,1,23,7
veg,Snack,beverage,Mango Shake 629,201,4,11,4
veg,Dinner,flatbread,Bhatura 477,189,2,35,1
veg,Breakfast,breakfast_item,Aloo Paratha 82,370,18,25,13
veg,Lunch,beverage,Lassi 691,239,3,30,1
veg,Dinner,soup,Hot and Sour Soup 188,144,7,12,1
veg,Snack,snack,Dhokla 640,241,9,6,7
veg,Dinner,flatbread,Bhatura 117,218,6,21,9
veg,Breakfast,beverage,Banana Smoothie 293,228,0,15,0
veg,Breakfast,breakfast_item,Masala Dosa 413,460,8,54,16
veg,Lunch,salad,Cucumber Salad 73,73,7,12,0
veg,Dinner,soup,Clear Veg Soup 35,120,3,7,1
veg,Snack,beverage,Masala Chai 239,78,5,31,1
veg,Snack,beverage,Coconut Water 694,120,3,30,4
veg,Lunch,dry_veg,Potato Fry 600,131,3,19,7
veg,Breakfast,beverage,Green Tea 497,147,0,36,4
veg,Breakfast,beverage,Coconut Water 552,178,1,14,7
veg,Lunch,beverage,Masala Chai 801,183,2,37,1
veg,Dinner,curry,Dal Tadka 311,217,16,26,15
non-veg,Snack,snack,Boiled Egg 990,296,15,25,11
veg,Dinner,flatbread,Paratha 637,116,6,21,8
veg,Snack,beverage,Masala Chai 965,186,4,36,0
veg,Lunch,dry_veg,Potato Fry 260,238,2,11,11
veg,Breakfast,breakfast_item,Pancakes 832,269,5,56,12
veg,Snack,snack,Fruit Bowl 759,203,6,19,3
veg,Dinner,dry_veg,Bhindi Fry 18,224,3,11,7
veg,Snack,beverage,Watermelon Juice 295,243,3,27,3
veg,Breakfast,beverage,Buttermilk (Chaas) 673,171,5,37,6
non-veg,Snack,snack,Boiled Egg 995,181,2,27,4
veg,Breakfast,breakfast_item,Besan Chilla 905,293,16,58,6
veg,Snack,snack,Dhokla 34,279,12,8,5
veg,Lunch,curry,Sambar 681,341,7,10,9
veg,Lunch,dry_veg,Cabbage Sabzi 758,212,9,20,15
veg,Lunch,curry,Palak Paneer 200,355,16,26,11
veg,Snack,snack,Bhel Puri 677,274,8,11,2
veg,Lunch,rice,Lemon Rice 576,217,5,62,7
veg,Dinner,dry_veg,Mix Veg Dry 171,150,9,14,11
veg,Breakfast,breakfast_item,Besan Chilla 806,313,19,23,19
veg,Breakfast,breakfast_item,Upma 326,257,5,38,12
veg,Breakfast,beverage,Watermelon Juice 366,142,4,17,6
veg,Breakfast,beverage,Masala Chai 229,145,1,39,9
veg,Snack,beverage,Filter Coffee 106,123,2,36,10
veg,Dinner,dry_veg,Aloo Gobi 960,123,2,14,6
veg,Breakfast,breakfast_item,Pancakes 890,275,11,45,11
veg,Dinner,salad,Cucumber Salad 805,115,6,8,3
veg,Breakfast,beverage,Mango Shake 782,112,5,24,9
veg,Lunch,curry,Sambar 27,244,5,25,8
veg,Snack,snack,Dhokla 621,169,5,9,15
non-veg,Snack,snack,Boiled Egg 73,289,11,13,14
veg,Breakfast,breakfast_item,Veg Sandwich 175,446,5,33,6
veg,Snack,beverage,Coconut Water 53,162,2,26,5
veg,Lunch,curry,Dal Tadka 310,299,25,30,6
veg,Dinner,dry_veg,Cabbage Sabzi 801,109,6,20,9
veg,Snack,snack,Protein Bar 594,195,8,12,4
veg,Breakfast,beverage,Orange Juice 920,127,5,25,3
veg,Breakfast,breakfast_item,Cheese Toast 318,320,15,25,8
veg,Breakfast,beverage,Banana Smoothie 724,118,3,31,8
veg,Breakfast,breakfast_item,Poha 559,397,18,20,15
veg,Dinner,soup,Sweet Corn Soup 196,130,2,11,3
veg,Dinner,salad,Coleslaw 526,147,2,13,2
veg,Dinner,dry_veg,Mix Veg Dry 475,137,9,11,7
veg,Lunch,flatbread,Kulcha 571,201,3,23,3
veg,Snack,snack,Bhel Puri 412,242,9,30,9
veg,Lunch,dry_veg,Potato Fry 526,136,4,15,7
non-veg,Snack,snack,Boiled Egg 330,104,13,5,14
veg,Breakfast,beverage,Orange Juice 711,78,3,14,3
veg,Dinner,dry_veg,Jeera Aloo 733,108,2,12,15
non-veg,Dinner,curry,Fish Curry 121,382,23,22,18
veg,Snack,snack,Dhokla 568,192,7,12,10
veg,Dinner,soup,Clear Veg Soup 495,129,7,7,0
veg,Snack,beverage,Coconut Water 348,109,2,10,5
veg,Snack,snack,Bhel Puri 498,239,10,6,10
non-veg,Lunch,curry,Bhuna Gosht 982,258,20,15,5
veg,Snack,snack,Makhana 971,182,10,25,3
veg,Dinner,salad,Coleslaw 371,93,6,9,4
veg,Snack,snack,Roasted Nuts 441,222,4,17,10
veg,Breakfast,breakfast_item,Veg Sandwich 600,324,10,53,17
veg,Breakfast,breakfast_item,Veg Sandwich 214,362,16,25,20
veg,Lunch,curry,Rajma Masala 201,267,21,13,20
veg,Breakfast,beverage,Watermelon Juice 723,63,4,13,3
veg,Lunch,salad,Sprouts Salad 797,132,6,9,0
veg,Breakfast,beverage,Watermelon Juice 554,90,4,39,3
non-veg,Lunch,curry,Butter Chicken 74,313,25,11,10
veg,Dinner,soup,Lentil Soup 73,67,5,10,1
non-veg,Dinner,curry,Chicken Curry 594,362,8,17,21
veg,Lunch,flatbread,Roti 754,204,5,40,8
veg,Breakfast,beverage,Banana Smoothie 487,199,0,14,6
veg,Lunch,beverage,Masala Chai 660,123,2,23,1
veg,Breakfast,beverage,Lassi 984,63,1,25,2
veg,Breakfast,breakfast_item,Masala Dosa 949,465,9,50,16
veg,Lunch,rice,Ghee Rice 331,226,8,56,3
veg,Dinner,salad,Green Salad 466,91,4,6,2
veg,Breakfast,beverage,Lassi 107,189,4,18,5
veg,Breakfast,beverage,Green Tea 193,152,1,32,6
veg,Breakfast,beverage,Watermelon Juice 436,55,4,31,2
veg,Snack,snack,Popcorn 765,174,7,19,7
veg,Dinner,salad,Coleslaw 701,133,4,11,7
veg,Dinner,dry_veg,Cabbage Sabzi 938,149,2,10,9
veg,Breakfast,beverage,Coconut Water 715,124,4,14,10
veg,Lunch,flatbread,Kulcha 496,215,5,32,8
veg,Breakfast,breakfast_item,Poha 541,257,17,48,11
veg,Dinner,dry_veg,Potato Fry 782,250,3,23,13
veg,Breakfast,beverage,Lemonade 846,193,5,35,10
veg,Snack,snack,Makhana 282,159,2,25,9
veg,Snack,beverage,Green Tea 121,198,4,20,4
veg,Dinner,salad,Green Salad 543,68,6,11,5
veg,Breakfast,beverage,Green Tea 896,66,2,26,6
veg,Dinner,flatbread,Roti 586,99,3,25,4
veg,Snack,snack,Makhana 555,243,3,21,11
veg,Breakfast,breakfast_item,Veg Sandwich 877,430,15,55,8
veg,Breakfast,beverage,Lemonade 919,161,5,22,0
veg,Dinner,flatbread,Kulcha 383,143,8,23,2
veg,Breakfast,beverage,Watermelon Juice 985,194,4,34,2
veg,Dinner,salad,Chickpea Salad 35,54,5,10,9
veg,Lunch,beverage,Lemonade 965,61,4,30,3
veg,Breakfast,breakfast_item,Pancakes 877,271,14,57,20
veg,Breakfast,beverage,Buttermilk (Chaas) 999,245,2,34,6
veg,Breakfast,breakfast_item,Masala Dosa 370,446,5,41,5
non-veg,Lunch,curry,Chicken Curry 559,162,13,24,24
veg,Lunch,dry_veg,Paneer Bhurji 558,236,10,11,7
non-veg,Breakfast,breakfast_item,Omelette 978,467,17,46,10
veg,Breakfast,breakfast_item,Aloo Paratha 242,348,5,35,9
veg,Breakfast,beverage,Watermelon Juice 165,175,5,16,9
veg,Breakfast,beverage,Coconut Water 564,60,4,16,1
veg,Lunch,beverage,Coconut Water 329,201,3,24,9
veg,Dinner,salad,Kachumber Salad 240,60,7,8,0
veg,Snack,beverage,Coconut Water 754,242,0,13,7
veg,Snack,beverage,Lemonade 65,84,0,29,0
non-veg,Dinner,curry,Chicken Curry 807,216,11,10,5
veg,Snack,beverage,Orange Juice 602,193,5,24,2
veg,Dinner,curry,Malai Kofta 24,186,12,17,7
veg,Snack,beverage,Lassi 181,189,2,36,7
non-veg,Dinner,soup,Chicken Clear Soup 951,86,1,8,4
veg,Breakfast,breakfast_item,Puri Bhaji 913,242,19,45,8
veg,Dinner,soup,Pumpkin Soup 805,69,8,10,1
veg,Breakfast,beverage,Watermelon Juice 91,137,3,12,8
veg,Dinner,soup,Tomato Soup 351,102,2,5,2
veg,Lunch,curry,Mixed Vegetable Curry 847,372,19,26,6
veg,Breakfast,breakfast_item,Pancakes 457,262,20,40,6
veg,Snack,beverage,Masala Chai 463,54,0,10,8
veg,Breakfast,breakfast_item,Poha 495,386,9,56,15
veg,Dinner,soup,Tomato Soup 793,109,7,12,2
veg,Snack,snack,Protein Bar 105,70,2,25,4
veg,Lunch,salad,Kachumber Salad 295,92,5,5,2
veg,Dinner,curry,Rajma Masala 371,266,5,30,6
veg,Snack,snack,Roasted Nuts 30,172,11,23,15
veg,Lunch,flatbread,Kulcha 428,217,5,37,1
veg,Breakfast,beverage,Green Tea 511,171,4,15,4
veg,Lunch,beverage,Orange Juice 167,207,4,39,3
veg,Lunch,beverage,Watermelon Juice 946,200,1,39,8
veg,Lunch,rice,Lemon Rice 371,256,6,71,7
veg,Breakfast,beverage,Watermelon Juice 474,84,2,19,7
veg,Lunch,salad,Green Salad 960,111,4,11,1
veg,Snack,beverage,Masala Chai 382,76,3,29,6
veg,Breakfast,beverage,Coconut Water 970,157,4,18,5
veg,Breakfast,beverage,Orange Juice 605,236,1,32,5
veg,Breakfast,beverage,Lassi 321,171,0,37,6
veg,Dinner,dry_veg,Aloo Gobi 875,210,9,17,5
veg,Lunch,rice,Steamed Rice 269,380,4,50,4
veg,Lunch,salad,Cucumber Salad 663,30,1,10,2
veg,Snack,beverage,Lemonade 518,89,0,18,4
veg,Breakfast,beverage,Lemonade 351,141,3,29,10
veg,Snack,snack,Popcorn 555,209,7,19,6
veg,Breakfast,beverage,Mango Shake 21,221,5,10,6
non-veg,Breakfast,breakfast_item,Omelette 229,437,19,34,19
veg,Snack,snack,Popcorn 424,53,14,12,5
veg,Breakfast,breakfast_item,Poha 231,242,15,21,20
veg,Dinner,soup,Tomato Soup 507,65,7,5,4
veg,Dinner,dry_veg,Mix Veg Dry 387,186,5,14,15
veg,Lunch,flatbread,Kulcha 321,248,7,15,9
veg,Dinner,soup,Pumpkin Soup 77,70,3,6,1
veg,Snack,snack,Roasted Nuts 38,274,6,13,12
veg,Snack,beverage,Lassi 966,167,1,24,8
veg,Snack,snack,Makhana 328,66,13,10,5
veg,Lunch,salad,Greek Salad 149,127,3,13,7
veg,Snack,snack,Greek Yogurt 600,206,13,28,0
veg,Breakfast,breakfast_item,Upma 147,434,14,29,5
veg,Dinner,dry_veg,Paneer Bhurji 432,193,9,17,10
veg,Dinner,salad,Cucumber Salad 956,72,2,8,10
non-veg,Lunch,curry,Bhuna Gosht 280,182,15,15,8
veg,Lunch,curry,Chana Masala 182,380,8,19,14
veg,Breakfast,beverage,Lemonade 682,196,1,23,6
veg,Snack,beverage,Buttermilk (Chaas) 943,220,0,23,9
veg,Snack,beverage,Lemonade 830,210,5,19,9
veg,Snack,beverage,Banana Smoothie 410,148,3,31,7
veg,Lunch,dry_veg,Potato Fry 860,119,7,17,11
veg,Lunch,salad,Chickpea Salad 773,115,2,9,6
veg,Breakfast,beverage,Buttermilk (Chaas) 488,180,5,26,4
veg,Snack,snack,Bhel Puri 638,129,10,9,1
veg,Lunch,salad,Coleslaw 675,123,8,13,8
veg,Lunch,rice,Steamed Rice 21,208,7,63,1
veg,Dinner,soup,Hot and Sour Soup 328,62,6,8,2
veg,Snack,snack,Dhokla 738,115,3,8,2
veg,Dinner,flatbread,Bhatura 904,179,7,38,3
veg,Dinner,flatbread,Methi Thepla 878,142,2,20,6
veg,Dinner,flatbread,Butter Naan 981,146,2,17,4
veg,Breakfast,breakfast_item,Upma 724,341,18,37,10
veg,Snack,snack,Popcorn 924,255,5,12,2
veg,Snack,beverage,Orange Juice 121,52,0,35,8
veg,Breakfast,beverage,Mango Shake 926,230,5,27,4
veg,Dinner,flatbread,Chapati 993,156,4,29,3
veg,Snack,snack,Protein Bar 20,270,11,7,8
veg,Breakfast,breakfast_item,Idli Sambar 702,393,8,36,5
veg,Lunch,salad,Green Salad 722,112,6,8,9
non-veg,Breakfast,breakfast_item,Scrambled Eggs 200,261,5,53,6
veg,Breakfast,beverage,Lassi 412,61,3,26,9
veg,Lunch,curry,Dal Tadka 370,358,13,30,19
veg,Lunch,curry,Dal Fry 411,351,24,19,23
veg,Dinner,dry_veg,Mix Veg Dry 425,156,5,16,10
veg,Snack,snack,Dhokla 495,78,12,11,15
veg,Breakfast,beverage,Green Tea 560,167,0,40,8
veg,Lunch,dry_veg,Beans Poriyal 910,115,8,23,10
veg,Lunch,dry_veg,Beans Poriyal 946,164,10,14,15
veg,Dinner,curry,Sambar 419,209,11,14,23
veg,Breakfast,breakfast_item,Poha 671,207,17,46,8
veg,Lunch,rice,Steamed Rice 158,211,5,46,6
veg,Snack,snack,Makhana 496,190,2,30,0
veg,Dinner,flatbread,Butter Naan 566,112,6,20,7
veg,Snack,beverage,Filter Coffee 57,208,4,20,1
veg,Breakfast,beverage,Filter Coffee 154,56,2,27,2
veg,Breakfast,beverage,Lassi 496,118,5,24,5
veg,Breakfast,breakfast_item,Idli Sambar 43,311,9,28,13
veg,Breakfast,breakfast_item,Cheese Toast 893,273,15,23,12
veg,Dinner,soup,Tomato Soup 743,118,6,13,3
veg,Dinner,flatbread,Bhatura 967,137,7,23,7
veg,Snack,beverage,Filter Coffee 712,50,0,32,2
veg,Dinner,flatbread,Paratha 644,235,3,21,6
veg,Dinner,dry_veg,Beans Poriyal 591,212,3,13,10
non-veg,Dinner,curry,Butter Chicken 132,174,23,29,11
veg,Lunch,curry,Rajma Masala 165,270,8,22,8
veg,Snack,beverage,Lassi 115,222,1,11,3
veg,Snack,beverage,Masala Chai 334,77,1,16,3
veg,Breakfast,breakfast_item,Puri Bhaji 262,325,7,46,17
veg,Dinner,dry_veg,Jeera Aloo 39,145,10,23,7
veg,Breakfast,beverage,Lassi 144,194,4,25,6
veg,Breakfast,beverage,Buttermilk (Chaas) 389,131,3,38,7
veg,Snack,snack,Roasted Nuts 172,224,13,9,12
veg,Lunch,dry_veg,Bhindi Fry 21,250,10,24,9
veg,Lunch,rice,Steamed Rice 272,247,4,52,10
veg,Breakfast,beverage,Watermelon Juice 396,160,5,32,4
veg,Snack,beverage,Filter Coffee 346,150,5,10,5
veg,Breakfast,breakfast_item,Cheese Toast 780,313,18,51,5
veg,Lunch,curry,Palak Paneer 290,303,6,16,8
veg,Snack,snack,Makhana 473,53,13,14,9
veg,Breakfast,beverage,Orange Juice 509,143,4,31,4
veg,Breakfast,beverage,Watermelon Juice 615,121,3,34,5
veg,Lunch,flatbread,Kulcha 43,202,8,19,2
veg,Dinner,soup,Clear Veg Soup 693,145,4,7,3
veg,Dinner,dry_veg,Beans Poriyal 580,181,2,23,15
veg,Breakfast,breakfast_item,Masala Dosa 506,343,9,42,17
veg,Lunch,salad,Green Salad 726,139,1,15,5
veg,Breakfast,beverage,Lassi 775,234,1,20,4
veg,Snack,snack,Roasted Nuts 59,280,4,21,3
veg,Snack,beverage,Watermelon Juice 97,229,2,22,2
veg,Breakfast,breakfast_item,Idli Sambar 270,312,18,45,9
non-veg,Dinner,curry,Chicken Curry 275,372,18,30,24
veg,Snack,beverage,Watermelon Juice 820,160,5,31,1
veg,Dinner,flatbread,Garlic Naan 329,82,8,23,6
veg,Breakfast,breakfast_item,Pancakes 990,396,6,20,20
veg,Lunch,beverage,Filter Coffee 261,77,4,25,3
veg,Snack,beverage,Masala Chai 549,243,0,37,4
veg,Snack,beverage,Banana Smoothie 456,93,0,29,1
veg,Breakfast,beverage,Masala Chai 696,192,4,34,8
veg,Snack,beverage,Mango Shake 934,72,0,40,5
veg,Dinner,curry,Chana Masala 205,206,25,19,11
veg,Snack,beverage,Lassi 346,177,5,26,2
veg,Snack,snack,Protein Bar 154,234,7,25,13
veg,Dinner,curry,Rajma Masala 622,181,18,29,10
veg,Lunch,flatbread,Chapati 451,246,5,24,1
veg,Dinner,dry_veg,Potato Fry 720,239,2,13,12
veg,Dinner,curry,Dal Tadka 194,212,10,19,13
veg,Lunch,salad,Coleslaw 684,60,4,7,9
veg,Dinner,dry_veg,Bhindi Fry 511,216,2,10,9
veg,Lunch,curry,Palak Paneer 169,227,8,30,18
veg,Snack,beverage,Lassi 572,157,2,38,9
veg,Dinner,flatbread,Methi Thepla 987,127,5,23,3
veg,Dinner,curry,Palak Paneer 717,263,9,18,12
veg,Dinner,flatbread,Butter Naan 913,211,6,35,4
veg,Dinner,dry_veg,Cabbage Sabzi 12,216,5,19,15
veg,Snack,snack,Roasted Nuts 904,253,2,6,12
veg,Snack,beverage,Mango Shake 496,217,4,29,2
veg,Lunch,flatbread,Chapati 685,83,6,20,10
veg,Dinner,salad,Fruit Salad 534,144,8,15,4
veg,Dinner,flatbread,Bhatura 613,153,3,40,9
veg,Snack,beverage,Mango Shake 624,240,5,29,6
veg,Dinner,salad,Corn Salad 773,147,6,5,4
veg,Dinner,flatbread,Methi Thepla 123,204,4,20,9
veg,Breakfast,beverage,Lassi 606,234,5,18,10
veg,Lunch,curry,Rajma Masala 739,324,19,13,21
non-veg,Lunch,curry,Egg Curry 138,353,13,27,6
veg,Snack,snack,Popcorn 860,237,5,22,4
veg,Lunch,salad,Cucumber Salad 949,120,2,7,1
veg,Lunch,beverage,Buttermilk (Chaas) 587,213,2,10,9
veg,Snack,beverage,Coconut Water 151,141,2,34,6
veg,Breakfast,breakfast_item,Idli Sambar 333,226,15,35,5
veg,Dinner,salad,Fruit Salad 754,115,1,6,3
veg,Breakfast,beverage,Lassi 407,170,3,40,3
veg,Snack,beverage,Lassi 382,190,0,37,4
veg,Lunch,dry_veg,Paneer Bhurji 69,104,2,10,5
veg,Dinner,salad,Kachumber Salad 728,93,1,7,10
veg,Snack,snack,Fruit Bowl 172,262,14,8,9
veg,Dinner,salad,Coleslaw 761,110,1,13,9
veg,Snack,snack,Fruit Bowl 837,161,5,5,15
veg,Lunch,flatbread,Methi Thepla 970,249,3,37,8
veg,Breakfast,beverage,Filter Coffee 500,134,3,29,2
veg,Dinner,flatbread,Butter Naan 424,140,3,39,10
non-veg,Lunch,curry,Butter Chicken 207,216,22,28,25
veg,Lunch,dry_veg,Beans Poriyal 286,186,6,11,11
veg,Dinner,salad,Fruit Salad 802,34,3,8,5
veg,Breakfast,breakfast_item,Idli Sambar 511,465,8,47,19
veg,Breakfast,breakfast_item,Upma 950,233,14,36,15
veg,Lunch,beverage,Lassi 925,172,5,25,6
veg,Breakfast,breakfast_item,Poha 889,494,10,56,12
non-veg,Snack,snack,Boiled Egg 799,280,7,12,1
veg,Breakfast,breakfast_item,Poha 442,471,15,43,13
veg,Lunch,beverage,Masala Chai 761,64,3,22,0
veg,Snack,snack,Greek Yogurt 560,74,7,22,10
veg,Lunch,rice,Lemon Rice 923,351,5,68,10
veg,Lunch,curry,Sambar 77,241,9,11,11
veg,Lunch,salad,Cucumber Salad 466,85,3,5,8
veg,Lunch,curry,Mixed Vegetable Curry 707,279,12,30,6
veg,Lunch,flatbread,Chapati 919,193,4,25,4
veg,Lunch,rice,Steamed Rice 833,236,7,49,1
veg,Dinner,salad,Green Salad 71,138,1,11,8
veg,Dinner,soup,Clear Veg Soup 332,68,3,8,1
veg,Snack,snack,Protein Bar 518,151,8,26,8
veg,Lunch,beverage,Buttermilk (Chaas) 181,222,4,20,6
veg,Snack,snack,Roasted Nuts 168,110,15,22,7
veg,Snack,snack,Roasted Nuts 846,110,15,29,9
veg,Dinner,salad,Corn Salad 109,89,2,5,1
veg,Breakfast,breakfast_item,Besan Chilla 223,360,18,20,6
veg,Lunch,salad,Coleslaw 692,52,8,11,4
veg,Dinner,dry_veg,Beans Poriyal 336,211,2,14,9
veg,Snack,snack,Makhana 830,128,9,9,10
veg,Lunch,dry_veg,Bhindi Fry 38,191,9,11,15
veg,Dinner,curry,Dal Fry 639,339,9,22,22
veg,Breakfast,beverage,Masala Chai 450,75,5,15,3
veg,Lunch,flatbread,Bhatura 259,94,3,34,8
veg,Snack,beverage,Filter Coffee 149,77,5,36,9
veg,Breakfast,beverage,Coconut Water 267,104,2,39,2
non-veg,Dinner,curry,Egg Curry 644,356,7,16,9
veg,Snack,beverage,Filter Coffee 317,168,0,13,8
veg,Dinner,salad,Chickpea Salad 864,69,5,15,0
veg,Snack,snack,Protein Bar 292,89,9,9,9
veg,Lunch,salad,Chickpea Salad 751,114,4,11,8
veg,Lunch,dry_veg,Aloo Gobi 842,157,3,20,7
veg,Dinner,salad,Coleslaw 969,42,7,15,0
veg,Dinner,dry_veg,Paneer Bhurji 551,176,6,20,6
veg,Breakfast,beverage,Banana Smoothie 13,53,4,31,10
non-veg,Snack,snack,Boiled Egg 934,271,7,21,8
veg,Snack,snack,Protein Bar 294,245,15,16,6
veg,Breakfast,beverage,Green Tea 470,103,2,29,8
veg,Breakfast,breakfast_item,Besan Chilla 726,463,17,55,11
veg,Breakfast,breakfast_item,Idli Sambar 827,347,20,27,9
non-veg,Lunch,curry,Egg Curry 272,375,13,15,5
veg,Snack,snack,Dhokla 929,211,13,18,15
veg,Breakfast,breakfast_item,Puri Bhaji 65,259,6,29,18
veg,Breakfast,breakfast_item,Oats Porridge 308,315,7,20,18
veg,Breakfast,breakfast_item,Pancakes 305,339,9,32,13
veg,Breakfast,breakfast_item,Masala Dosa 226,250,19,36,9
veg,Snack,snack,Dhokla 704,169,14,12,8
veg,Breakfast,beverage,Watermelon Juice 527,218,0,25,5
veg,Snack,snack,Bhel Puri 450,268,6,21,8
veg,Breakfast,beverage,Orange Juice 576,225,1,30,9
veg,Dinner,soup,Manchow Soup 412,63,4,13,5
veg,Snack,snack,Popcorn 699,186,15,26,3
veg,Breakfast,breakfast_item,Cheese Toast 754,425,18,52,15
veg,Lunch,salad,Cucumber Salad 298,139,8,15,9
veg,Dinner,flatbread,Paratha 79,122,4,17,7
non-veg,Snack,snack,Boiled Egg 324,132,14,13,8
veg,Dinner,curry,Rajma Masala 892,303,8,16,21
veg,Lunch,beverage,Mango Shake 804,58,1,28,6
non-veg,Dinner,curry,Egg Curry 249,282,5,17,19
veg,Breakfast,breakfast_item,Upma 25,496,6,56,18
non-veg,Breakfast,breakfast_item,Omelette 337,498,15,33,13
veg,Lunch,curry,Sambar 415,383,10,29,15
veg,Snack,beverage,Banana Smoothie 483,72,2,40,7
veg,Dinner,dry_veg,Paneer Bhurji 220,122,2,11,13
non-veg,Breakfast,breakfast_item,Scrambled Eggs 659,470,15,30,5
veg,Dinner,dry_veg,Mix Veg Dry 62,198,10,19,11
veg,Lunch,rice,Veg Biryani 461,276,7,49,5
veg,Snack,beverage,Watermelon Juice 66,177,3,10,8
veg,Lunch,dry_veg,Beans Poriyal 665,145,5,17,12
veg,Breakfast,breakfast_item,Idli Sambar 408,338,16,38,7
veg,Breakfast,beverage,Lemonade 783,220,0,37,4
veg,Snack,beverage,Buttermilk (Chaas) 296,63,0,14,2
veg,Dinner,curry,Dal Tadka 812,363,25,24,9
veg,Snack,snack,Greek Yogurt 366,181,15,23,10
veg,Lunch,flatbread,Methi Thepla 196,91,2,17,3
veg,Snack,beverage,Filter Coffee 12,206,1,38,2
veg,Dinner,salad,Chickpea Salad 624,145,5,14,3
veg,Breakfast,breakfast_item,Upma 253,467,11,56,9
veg,Dinner,salad,Coleslaw 532,129,8,8,0
veg,Breakfast,beverage,Masala Chai 300,106,0,11,0
veg,Snack,beverage,Orange Juice 838,113,1,29,7
veg,Lunch,curry,Mushroom Masala 975,185,12,19,20
veg,Dinner,soup,Clear Veg Soup 157,69,4,9,5
non-veg,Dinner,curry,Chicken Curry 168,362,7,17,8
veg,Snack,snack,Dhokla 504,222,11,16,2
veg,Dinner,soup,Tomato Soup 867,125,3,6,5
veg,Breakfast,breakfast_item,Pancakes 237,301,19,60,9
veg,Lunch,rice,Jeera Rice 696,240,8,53,9
veg,Lunch,dry_veg,Cabbage Sabzi 135,157,6,10,6
veg,Lunch,curry,Chana Masala 802,307,20,12,16
veg,Lunch,rice,Khichdi 260,237,3,66,9
veg,Dinner,salad,Coleslaw 452,128,5,9,9
veg,Lunch,flatbread,Aloo Paratha 473,134,8,26,5
non-veg,Lunch,curry,Egg Curry 748,334,17,29,23
veg,Breakfast,beverage,Coconut Water 862,222,2,32,9
veg,Lunch,flatbread,Paratha 909,130,2,21,6
veg,Lunch,beverage,Banana Smoothie 785,237,5,40,9
veg,Lunch,rice,Peas Pulao 533,306,8,59,3
non-veg,Lunch,curry,Butter Chicken 735,160,12,19,19
veg,Dinner,soup,Tomato Soup 548,130,1,5,4
veg,Breakfast,beverage,Filter Coffee 678,248,1,34,9
veg,Breakfast,beverage,Watermelon Juice 974,64,5,25,10
veg,Snack,snack,Bhel Puri 616,266,11,25,10
veg,Dinner,dry_veg,Baingan Bharta 925,112,7,14,9
veg,Breakfast,beverage,Green Tea 140,199,1,25,2
veg,Breakfast,breakfast_item,Oats Porridge 725,255,14,53,12
veg,Dinner,salad,Corn Salad 699,91,7,10,2
veg,Snack,beverage,Masala Chai 882,155,5,38,3
veg,Breakfast,breakfast_item,Upma 747,221,8,30,12
veg,Snack,beverage,Green Tea 119,194,3,34,3
veg,Dinner,dry_veg,Baingan Bharta 561,129,8,11,9
veg,Breakfast,beverage,Lemonade 815,227,4,20,8
veg,Snack,beverage,Filter Coffee 815,122,0,13,3
veg,Dinner,curry,Chana Masala 379,332,9,10,8
veg,Snack,beverage,Green Tea 225,146,0,36,1
veg,Dinner,flatbread,Aloo Paratha 709,193,6,20,10
veg,Lunch,flatbread,Roti 485,182,4,25,2
veg,Snack,snack,Bhel Puri 733,228,4,12,8
veg,Dinner,flatbread,Butter Naan 999,177,3,30,3
veg,Snack,beverage,Coconut Water 296,120,5,29,8
veg,Dinner,dry_veg,Mix Veg Dry 10,188,4,13,13
veg,Dinner,dry_veg,Beans Poriyal 73,232,6,21,11
veg,Breakfast,breakfast_item,Cheese Toast 168,449,16,35,16
veg,Snack,beverage,Green Tea 737,245,4,13,4
veg,Dinner,curry,Paneer Butter Masala 304,367,6,12,5
veg,Dinner,flatbread,Methi Thepla 827,83,7,33,5
veg,Breakfast,beverage,Coconut Water 636,59,3,37,8
veg,Breakfast,breakfast_item,Upma 298,309,8,59,12
non-veg,Breakfast,breakfast_item,Scrambled Eggs 388,374,13,42,8
veg,Breakfast,beverage,Coconut Water 443,180,3,13,0
veg,Breakfast,beverage,Watermelon Juice 710,164,2,12,9
veg,Lunch,flatbread,Paratha 360,162,6,15,5
veg,Dinner,flatbread,Paratha 300,223,6,29,6
veg,Lunch,flatbread,Bhatura 18,221,6,21,10
veg,Dinner,soup,Clear Veg Soup 17,70,8,5,3
veg,Lunch,rice,Steamed Rice 822,205,7,53,8
veg,Snack,snack,Fruit Bowl 432,151,7,21,6
veg,Lunch,dry_veg,Aloo Gobi 317,204,5,22,12
veg,Snack,snack,Roasted Nuts 309,284,8,24,5
veg,Lunch,flatbread,Butter Naan 406,99,7,20,3
veg,Snack,snack,Protein Bar 134,172,4,22,1
veg,Dinner,salad,Green Salad 94,118,1,15,6
veg,Breakfast,beverage,Buttermilk (Chaas) 208,242,1,24,5
veg,Dinner,curry,Palak Paneer 7,389,13,19,9
